date, pm25, pm10, o3
2021/4/10, 11, , 
2021/4/11, 20, , 
2021/4/12, 15, , 
2021/4/13, 14, , 
2021/4/14, 14, , 
2021/4/15, 13, , 
2021/4/16, 16, , 
2021/4/17, 18, , 
2021/4/18, 18, , 
2021/4/19, 14, , 
2021/4/20, 18, , 
2021/4/21, 20, , 
2021/4/22, 21, , 
2021/4/23, 21, , 
2021/4/24, 16, , 
2021/4/25, 12, , 
2021/4/26, 11, , 
2021/4/27, 12, , 
2021/4/28, 15, , 
2021/4/29, 16, , 
2021/4/30, 11, , 
2021/5/1, 12, , 
2021/5/2, 10, , 
2021/5/3, 11, , 
2021/5/4, 11, , 
2021/5/5, 15, , 
2021/5/6, 14, , 
2021/5/7, 10, , 
2021/5/8, 12, , 
2021/5/9, 12, , 
2021/5/10, 12, , 
2021/5/11, 14, , 
2021/5/12, 15, , 
2021/5/13, 13, , 
2021/5/14, 14, , 
2021/5/15, 15, , 
2021/5/16, 15, , 
2021/5/17, 13, , 
2021/5/18, 10, , 
2021/5/19, 10, , 
2021/5/20, 11, , 
2021/5/21, 14, , 
2021/5/22, 16, , 
2021/5/23, 13, , 
2021/5/24, 12, , 
2021/5/25, 10, , 
2021/5/26, 12, , 
2021/5/27, 12, , 
2021/5/28, 10, , 
2021/5/29, 11, , 
2021/5/30, 11, , 
2021/5/31, 16, , 
2021/6/1, 20, , 
2021/6/2, 21, , 
2021/6/3, 11, , 
2021/6/4, 11, , 
2021/6/5, 11, , 
2021/6/6, 10, , 
2021/6/7, 10, , 
2021/6/8, 11, , 
2021/6/9, 10, , 
2021/6/10, 10, , 
2021/6/11, 11, , 
2021/6/12, 11, , 
2021/6/13, 10, , 
2021/6/14, 11, , 
2021/6/15, 11, , 
2021/6/16, 11, , 
2021/6/17, 13, , 
2021/6/18, 14, , 
2021/6/19, 12, , 
2021/6/20, 12, , 
2021/6/21, 17, , 
2021/6/22, 18, , 
2021/6/23, 11, , 
2021/6/24, 12, , 
2021/6/25, 16, , 
2021/6/26, 23, , 
2021/6/27, 21, , 
2021/6/28, 24, , 
2021/6/29, 36, , 
2021/6/30, 42, , 
2021/1/4, 24, , 
2021/1/5, 25, , 
2021/1/6, 35, , 
2021/1/7, 24, , 
2021/1/8, 26, , 
2021/1/9, 24, , 
2021/1/10, 35, , 
2021/1/11, 44, , 
2021/1/12, 48, , 
2021/1/13, 20, , 
2021/1/14, 23, , 
2021/1/15, 24, , 
2021/1/16, 32, , 
2021/1/17, 20, , 
2021/1/18, 24, , 
2021/1/19, 28, , 
2021/1/20, 32, , 
2021/1/21, 47, , 
2021/1/22, 41, , 
2021/1/23, 48, , 
2021/1/24, 48, , 
2021/1/25, 37, , 
2021/1/26, 22, , 
2021/1/27, 17, , 
2021/1/28, 29, , 
2021/1/29, 19, , 
2021/1/30, 31, , 
2021/1/31, 37, , 
2021/2/1, 24, , 
2021/2/2, 15, , 
2021/2/3, 13, , 
2021/2/4, 12, , 
2021/2/5, 13, , 
2021/2/6, 10, , 
2021/2/7, 12, , 
2021/2/8, 13, , 
2021/2/9, 19, , 
2021/2/10, 26, , 
2021/2/11, 20, , 
2021/2/12, 19, , 
2021/2/13, 25, , 
2021/2/14, 24, , 
2021/2/15, 33, , 
2021/2/16, 21, , 
2021/2/17, 14, , 
